Week,Day,Short description,Duration/Sets,Movements,Reps,Rest,REPS LOG,RPE LOG
1,Mer,Blocchi tecnici + repertorio boulder gym (RPE 5-6 TARGET non pavimento - placche/coordinativi + random practice leggera: linka 3-4 problemi dissimili - dita fresche per il weekend: NIENTE limit su prese piccole),Fino a 45',4-8 mov,8-12 boulder totali,2-3' tra link,,
1,Mer,Downclimbing per footwork (RPE 4 - piedi silenziosi - hold recognition - chiusura leggera),10-15',6-10 mov,3-4 problemi,1-2' tra problemi,,
,,,,,,,,
1,Sab,GIORNO 1 OUTDOOR BOULDER — MENU di principi in ordine (1. warm-up progressivo su boulder facili 2. blocked practice sui blocchi feel-good: ripeti 2-3x per groovare il feel 3. varia stile/angolo 4. tentativi 7a/7a+ SOLO se condizioni E sensazioni allineate 5. gestione energia: lascia benzina e pelle per il giorno 2),Mezza giornata,4-10 mov,secondo menu,A piacere - pelle e condizioni comandano,,
1,Sab,NOTES giorno 1 (grip leggero: stai stringendo troppo? - piedi silenziosi - stop ai tentativi limite quando la pelle scalda - chiudi su facile pulito),—,—,—,—,,
,,,,,,,,
1,Dom,GIORNO 2 OUTDOOR BOULDER — MENU di principi in ordine (1. warm-up più lungo di ieri 2. riprendi i blocchi groovati il giorno 1: il send spesso arriva il giorno 2 3. se pelle ed energia OK un tentativo vero sul 7a/7a+ 4. altrimenti volume facile di qualità e varia stile 5. chiudi PRIMA di distruggere la pelle: lunedì c'è hangboard),Mezza giornata,4-10 mov,secondo menu,A piacere,,
,,,,,,,,
H1,Libero,MENU VACANZA — zero obblighi (0-2 sessioni opportunistiche su roccia o gym sconosciuta = random practice + on-sight mileage gratis - RPE 7 è un TETTO non un target da raggiungere - flash/on-sight di problemi e vie mai visti - nessun grado obiettivo - se non scali NON è una sessione persa),Libera,—,0-2 sessioni nella settimana,—,non fatto,
,,,,,,,,
H2,Libero,MENU VACANZA — zero obblighi (come settimana H1: 0-2 sessioni opportunistiche - RPE CAP 7 - terreno sconosciuto = valore per l'obiettivo on-sight autunnale - divertiti e basta),Libera,—,0-2 sessioni nella settimana,—,non fatto,
,,,,,,,,
2,Tue 11 Aug (DONE — sessione di rientro anticipata a martedì e fatta in coppia con la hangboard RE-ENTRY; Mer 12 = riposo),RIENTRO — repertorio indoor moderato (RPE 7 è un CAP - volume moderato - blocchi tecnici + random practice su problemi dissimili - Moonboard solo su prese comode - dita in ricarico dopo il break: NIENTE limit né prese piccole),Fino a 45',4-8 mov,8-12 boulder totali,2-3' tra link,fatto,7
2,Tue 11 Aug (DONE — sessione di rientro anticipata a martedì e fatta in coppia con la hangboard RE-ENTRY; Mer 12 = riposo),Downclimbing + mobilità in parete (RPE 4-5 - piedi silenziosi - drop-knee/heel hook lenti e controllati),15',6-10 mov,3-4 problemi,A piacere,fatto,6
,,,,,,,,
2,Sab/Dom,WEEKEND MENU rientro (1-2 giorni flessibili - outdoor boulder preferito - fallback indoor se caldo) — Blocchi flash come base (RPE 5-6 CAP - puliti no fail) + Blocchi ripetuti sui feel-good (blocked practice: ripeti lo stesso 2-3x per groovare il feel) + Blocchi tecnici (varia stile/angolo) — settimana di rientro: NIENTE tentativi limite - RPE 6-7 è un TETTO non un pavimento,Mezza giornata/giorno,4-10 mov,menu su 1-2 giorni,A piacere - pelle e sensazioni comandano,,
,,,,,,,,
3,Mer,Blocchi tecnici — repertorio weakness-first da fresco (RPE 6-7 TARGET - prima i pattern deboli - poi random practice: linka 4-6 problemi molto diversi back-to-back per allargare il repertorio motorio),Fino a 35',6-10 mov,4-6 problemi linkati,2-3' tra link,,
3,Mer,Blocchi Campus — mantenimento potenza Moonboard (RPE 7 - esplosivi vicino al flash grade - NON accelerare troppo i movimenti o perdi lo stimolo - recupero pieno),3-4 serie,6-8 mov,3-4 blocchi,Fino a 6' tra blocchi,,
3,Mer,Blocchi flash — rituale di lettura su problemi MAI provati (RPE 6 - scan → visualizza la sequenza → sali → confronta piano vs realtà - è on-sight mileage su boulder),15',4-8 mov,2-3 problemi nuovi,2-3' tra problemi,,
,,,,,,,,
3,Gio,AVVIO FILONE AE — Vie ripetute rope gym (lead touch - vie verticali 6b/6c ripetute a giri - gestione pompaggio: respira e scrolla ai riposi - clip fluidi - RPE 7 CAP) — struttura a intervalli 1:1 (riposo = tempo di salita). Fallback se rope gym non disponibile: Circuiti boulder lungo-facili 1:1,4-6 vie/intervalli,20-30 mov per via,2 giri per via,1:1 (riposo = tempo di salita),,
,,,,,,,,
3,Sab/Dom,WEEKEND MENU (1 giorno - outdoor boulder preferito - fallback indoor) — Blocchi flash + Blocchi tecnici per allargare il repertorio (varia stile/angolo) + 1-2 problemi MAI visti come Blocchi flash con rituale di lettura PRIMA di toccare - blocked practice sui feel-good - grip leggero e piedi silenziosi - RPE target 7,Mezza giornata,4-10 mov,secondo menu,A piacere,,
,,,,,,,,
4,Mer,PICCO VOLUME — Circuiti boulder 1:1 (RPE 7 TARGET - circuiti su boulder facili-medi - 1-4 min ON / riposo uguale - gestione pompaggio: è la firma fisiologica dell'on-sight lead),40-50',15-25 mov per giro,4-6 giri,1:1 work:rest,,
4,Mer,Blocchi tecnici in fatica — fatigued-skill recall su problemi groovati (RPE 6 - ripeti sequenze note in leggera pompa - piedi silenziosi e grip leggero PROPRIO quando sei stanco - qualità del movimento > difficoltà),15-20',4-8 mov,4-6 problemi noti,1-2' tra problemi,,
,,,,,,,,
4,Gio,Lead touch — Vie ripetute sostenute rope gym (vie verticali 6b/6c - TUT 120-180s in parete - RPE 7 CAP - lettura a OGNI riposo: guarda avanti e pianifica la sequenza prima di ripartire),3-5 vie,20-35 mov per via,3-5 giri (1 lap/via),Riposo = tempo di salita (1:1),,
,,,,,,,,
4,Sab/Dom,WEEKEND MENU (1 giorno - outdoor boulder preferito) — Blocchi flash + Blocchi tecnici (volume di qualità: in settimana di picco meglio tanti problemi moderati puliti che tentativi limite) + rituale di lettura su 1-2 problemi nuovi (Blocchi flash) - grip leggero e piedi silenziosi - RPE target 7,Mezza giornata,4-10 mov,secondo menu,A piacere,,
,,,,,,,,
