Week,Day,Short description,Duration/Sets,Movements,Reps,Rest,REPS LOG,RPE LOG
1,Mer,Blocchi project — PARTE 1 potenza Moonboard a dita fresche (grado indicativo ~7A/7A+ Font al limite - RPE 8 cap - PIEDI SUI PIEDINI feet-on - movimenti singoli/sequenze corte vicino al limite - fermati al primo tentativo sporco - blocco CORTO e di qualita: la potenza viene dai tentativi freschi non dal volume - fai questa parte PRIMA del lead),20-25',4-6 mov,3-4 blocchi - max 8 tentativi buoni,Almeno 3' tra tentativi,,
1,Mer,Vie flash — PARTE 2 lead LEGGERO rope gym vie VERTICALI (grado indicativo ~6b/6c - RPE 6-7 CAP - mileage e lettura NON lavoro AE - rituale completo: scan da terra -> piano di sequenza e riposi -> sali -> leggi a OGNI riposo guardando avanti - clip fluidi grip leggero - NIENTE burn on-sight duri - chiudi PRIMA della pompa profonda - dita gia lavorate dal boulder quindi tieni FACILE - chiudi presto: priorita freschi al viaggio),3-4 vie,20-30 mov per via,1 salita flash/via,Pieno recupero tra vie (a piacere),,
,,,,,,,,
1,Sab/Dom (1 giorno - LIGHT-MODERATE),WEEKEND MENU outdoor lead LEGGERO — priorita: arrivare FRESCHI al viaggio di W2 (NON impilare due weekend grossi). Vie flash come base: 4-6 vie MAI viste 6b/6c - rituale di lettura DA TERRA + lettura ai riposi - gestione pompaggio (respira e scrolla) - RPE 7 CAP non pavimento - NIENTE assedio redpoint - chiudi con benzina e pelle in avanzo. Fallback rope gym se meteo,Mezza giornata,15-30+ mov per via,4-6 vie (1 salita on-sight/via),Pieno recupero tra vie (a piacere),,
1,Sab/Dom (1 giorno - LIGHT-MODERATE),NOTES tattiche on-sight (grip leggero: stai stringendo troppo? - piedi silenziosi/precisi - pace brisk ai crux senza perdere tecnica - leggi PRIMA di entrare nella sezione - respiro ventrale ai riposi),—,—,—,—,,
,,,,,,,,
2,Mer-Ven,RIPOSO climbing (viaggio ora Sab-Dom; Ven partenza sera - Ven giorno a casa = physical leggero non-dita - vedi physical) — dita e pelle fresche per la roccia. Niente parete infrasettimanale (hangboard leggero lun 21),—,—,—,—,,
,,,,,,,,
2,Sab (VIAGGIO outdoor giorno 1 di 2 - BOULDER),Blocchi flash — repertorio + reading su MASSI nuovi vari (grado indicativo flash ~6B/6C Font - RPE 6-7 CAP - a dita fresche: flash/on-sight su blocchi a stili diversi - leggi ogni masso DA TERRA prima di salire - piedi quieti e repertorio ampio = il transfer boulder->on-sight - il tetto RPE e un tetto non un target),Fino a 60',4-8 mov,6-10 massi flash,Min 2-3' tra massi,,
2,Sab (VIAGGIO outdoor giorno 1 di 2 - BOULDER),Blocchi project — 1-3 linee limite ispiranti (grado indicativo ~7A/7A+ Font al limite - RPE gestito 7-9 - blocked practice: ripeti i singoli movimenti 2-3x per grovare il feel poi prova a linkare/mandare - e il tuo pattern che ha prodotto i 7a/7a+ - potenza/limite = fase W2 - fermati se la pelle comanda),Fino a 45',4-8 mov,3-4 linee (tentativi liberi),Almeno 3' tra tentativi buoni,,
2,Sab (VIAGGIO outdoor giorno 1 di 2 - opz LEAD),Vie flash — OPZIONALE se il settore ha vie: 2-4 vie MAI viste on-sight ~6b/6c (tocco lead goal-specifico - rituale di lettura da terra + ai riposi - salta se solo boulder o se la pelle e finita),2-4 vie,15-30+ mov per via,1 salita on-sight/via,Pieno recupero (a piacere),,
,,,,,,,,
2,Dom (VIAGGIO outdoor giorno 2 di 2 - BOULDER),Blocchi flash + tecnici — volume flash defaticante su massi vari (grado indicativo flash ~6A/6B Font - RPE 6-7 CAP - pelle/energia a 2 giorni: qualita > quantita - VARIA stile/tipo di presa per allargare il repertorio - piedi silenziosi grip leggero - reading da terra - chiudi PRIMA di distruggere la pelle),Fino a 45',4-8 mov,6-8 massi flash,Min 2-3' tra massi,,
2,Dom (VIAGGIO outdoor giorno 2 di 2 - opz),Blocchi project — OPZIONALE riprova le linee di Sab se fresco e motivato (blocked practice continua - ALTRIMENTI solo flash volume e chiudi presto: non distruggere la pelle a fine trip),Fino a 30',4-8 mov,1-2 linee,Almeno 3' tra tentativi,,
,,,,,,,,
3,Gio,AVVIO FILONE AE — Vie ripetute rope gym (lead touch - vie VERTICALI 6b/6c ripetute a giri - gestione pompaggio: respira e scrolla ai riposi - clip fluidi - RPE 7 CAP) - struttura a intervalli 1:1 (riposo = tempo di salita) - lettura a OGNI riposo guarda avanti e pianifica. Fallback se rope gym non disponibile: Circuiti boulder lungo-facili su board 1:1,30-40' di intervalli,20-30 mov per via,4-6 intervalli (1 giro/intervallo),1:1 (riposo = tempo di salita),,
,,,,,,,,
3,Sab/Dom (1-2 giorni - primi giorni recuperano dal viaggio),WEEKEND MENU outdoor lead — se recuperato dal viaggio: Vie flash on-sight 4-6 vie MAI viste 6b/6c con rituale di lettura (RPE 7 CAP). Se ancora stanco dai 3 giorni: volume facile 6a-6b di qualita + lettura - NON forzare. Fallback rope gym se meteo. Grip leggero piedi silenziosi,Mezza giornata,15-30+ mov per via,4-6 vie on-sight,Pieno recupero tra vie (a piacere),,
3,Sab/Dom (1-2 giorni - primi giorni recuperano dal viaggio),Blocchi project — MANTENIMENTO potenza OPZIONALE se indoor/fallback (grado indicativo ~7A/7A+ Font al limite - RPE 8 CAP - PIEDI SUI PIEDINI - ultimo tocco di potenza del blocco - 3-4 blocchi max - fermati al primo tentativo sporco) - salta se outdoor lead o se stanco,Fino a 20',4-6 mov,3-4 blocchi - max 8 tentativi buoni,Almeno 3' tra tentativi,,
,,,,,,,,
4,Mer,PICCO VOLUME AE — Circuiti su board 1:1 (RPE 7 TARGET e CAP - attenzione: storicamente sfori a 8.5 qui - TIENI il tetto) - circuiti su boulder facili-medi su Moonboard (grado indicativo mov ~6a-6b) - gestione pompaggio = firma fisiologica dell'on-sight lead - intervalli 1-4 min ON / riposo uguale,40-50',15-25 mov per giro,4-6 giri,1:1 work:rest,,
4,Mer,Blocchi tecnici in fatica — fatigued-skill recall (grado indicativo ~6A Font tecnica - RPE 6 CAP - ripeti sequenze note in leggera pompa - piedi silenziosi e grip leggero PROPRIO quando sei stanco - qualita del movimento > difficolta),15-20',4-8 mov,4-6 problemi noti,1-2' tra problemi,,
,,,,,,,,
4,Gio,Vie ripetute sostenute rope gym (lead touch - vie VERTICALI 6b/6c - TUT 120-180s in parete - RPE 7 CAP) - lettura a OGNI riposo: guarda avanti e pianifica la sequenza prima di ripartire - clip fluidi respiro ai riposi,3-5 vie,20-35 mov per via,3-5 giri (1 lap/via),Riposo = tempo di salita (1:1),,
,,,,,,,,
4,Sab (OUTDOOR lead priorita - 1-2 giorni weekend),Vie flash — on-sight outdoor: 4-6 vie MAI viste 6b/6c - rituale di lettura da terra + ai riposi - gestione pompaggio (respira scrolla) - RPE 7 CAP non pavimento. Fallback rope gym: Vie ripetute sostenute 6b/6c TUT 120-180s 1:1,4-6 vie,15-30+ mov per via,1 salita on-sight/via,Pieno recupero tra vie (a piacere),,
,,,,,,,,
4,Dom (OUTDOOR 2o giorno - FLESSIBILE se condizioni/energia OK),Vie ripetute — sostenuta/pompaggio outdoor su vie COMPLETABILI 6a-6c a giri (RPE 7 CAP - TUT 120-180s - leggi a ogni riposo) OPPURE Vie flash on-sight leggere se la pelle comanda. ALTRIMENTI rest - il volume W4 e gia al picco midweek,3-5 vie,20-35 mov per via,3-5 giri,Riposo = tempo di salita (1:1),,
,,,,,,,,
5,Mer,Vie ripetute sostenute rope gym — AE/CF mantenuto (lead touch - vie VERTICALI 6b/6c - TUT 120-180s - RPE 7 CAP) - lettura a OGNI riposo. Fallback: Circuiti su board 1:1 15-25 mov 4-6 giri RPE 7,3-5 vie,20-35 mov per via,3-5 giri (1 lap/via),Riposo = tempo di salita (1:1),,
5,Mer,Blocchi flash — ON-SIGHT SIM su problemi MAI provati ground-up (grado indicativo flash ~6A/6B Font - RPE 6 CAP - volume basso - rituale su OGNI problema: scan -> visualizza -> sali - un solo tentativo flash poi cambia - e il centro del blocco ora: lettura),15-20',4-8 mov,4-6 problemi nuovi,2-3' tra problemi,,
,,,,,,,,
5,Sab (OUTDOOR on-sight mileage - priorita weekend),Vie flash — ON-SIGHT INTEGRATION su roccia: 4-6 vie MAI viste 6b/6c+ (avvicina il grado obiettivo) - rituale COMPLETO da terra + lettura e ripianificazione a OGNI riposo - gestione pompaggio - RPE 7 CAP. Qui endurance-base incontra la skill. Fallback rope gym,4-6 vie,15-30+ mov per via,1 salita on-sight/via,Pieno recupero tra vie (a piacere),,
,,,,,,,,
5,Dom (OUTDOOR 2o giorno on-sight mileage),Vie flash — on-sight mileage giorno 2 (RPE 7 CAP - varia falesia/stile per allargare il repertorio) 4-6 vie nuove 6b/6c - rituale di lettura - grip leggero piedi quieti - chiudi con movimento pulito. Se stanco: volume facile di qualita. Fallback rope gym,4-6 vie,15-30+ mov per via,1 salita on-sight/via,Pieno recupero tra vie (a piacere),,
,,,,,,,,
6,Mer (TAPER - sim leggera),Vie flash / Blocchi flash — ON-SIGHT SIM leggera pre-performance (gradi indicativi vie ~6b/6c - boulder flash ~6A/6B Font - RPE 6 CAP - volume RIDOTTO - reminiscence effect: il feel di lettura va al picco dopo lo scarico) - 3-4 vie o problemi MAI visti con rituale completo: scan -> visualizza -> sali - chiudi presto e fresco - NIENTE limit NIENTE pompa,20-30' reali di parete,15-30 mov (via) / 4-8 mov (boulder),3-4 vie o problemi nuovi,Pieno recupero (a piacere),,
,,,,,,,,
6,Sab/Dom (FINESTRA PERFORMANCE ON-SIGHT outdoor),PERFORMANCE WINDOW — Vie flash on-sight: warm-up progressivo poi on-sight VERO sul 7a+ obiettivo da FRESCO (RPE gestito - e il momento del blocco) - rituale completo da terra + lettura a ogni riposo - 1 burn on-sight pulito per linea poi valuta - gestione pompaggio - riempi il resto con mileage 6b/6c di qualita. Fallback rope gym se meteo,Giornata,15-35+ mov per via,on-sight: 1 tentativo vero per linea obiettivo,Pieno recupero prima dei burn (10-15'),,
6,Sab/Dom (FINESTRA PERFORMANCE ON-SIGHT outdoor),NOTES performance on-sight (leggi TUTTA la via da terra: crux riposi clip - grip leggero - piedi precisi - pace deciso ai crux - respiro ventrale ai riposi - impegna il movimento: cadere provando e ok - sfrutta il 2o giorno per la linea feel-good del giorno 1),—,—,—,—,,
